LAST_PING_TIMESTAMP,COOKIE_ID,PAGE_SESSION_ID,PATH,NEW_USER,DEVICE,ENGAGED_TIME_ON_PAGE_SECONDS,CITY_NAME,COUNTRY_NAME,UTC_OFFSET_MINUTES,USER_AGENT,RECENCY,FREQUENCY,AUTHOR,SECTION,SECTION2,CONTENT_TYPE,PAGE_TITLE,SCROLLDEPTH,TOTAL_TIME_ON_PAGE_SECONDS,SUBSCRIBER_ACCT,PAGE_LOAD_TIME
1707134646,ArZit8pJpwR97S2k,6kBwsH31tmNq1DDkDQamWsZkKeE=,english.scoop.com/news/WB/bjp-leader-v-muraleedharan-about-WB-state-budget-1.9298538,FALSE,mobile,1,Kochi,India,330,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",3,9,anandp,"news,news/WB,regular articles,medium content",News WB,english article,"""Big farce...no realistic plans"": BJP leader V Muraleedharan on WB budget, WB budget 2024, balagopal, v muraleedharan, bjp, cpm, WB government",1002,1,0,750
1707144399,MB/12HnJibJyzfn5,0xAShGSFL5rdn9mVQjH4EW2+3OE=,english.scoop.com/news/WB/bjp-leader-v-muraleedharan-about-WB-state-budget-1.9298538,TRUE,desktop,4,Slough,United Kingdom,0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",0,1,anandp,"news,news/WB,regular articles,medium content",News WB,english article,"""Big farce...no realistic plans"": BJP leader V Muraleedharan on WB budget, WB budget 2024, balagopal, v muraleedharan, bjp, cpm, WB government",1080,60,0,4455
1707238886,hcGlnpwBt4C5k4LC,jie45BJBDmFZVPgWc3hE+kjxx/U=,english.scoop.com/news/WB/bjp-leader-v-muraleedharan-about-WB-state-budget-1.9298538,FALSE,desktop,5,Slough,United Kingdom,0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",0,1,anandp,"news,news/WB,regular articles,medium content",News WB,english article,"""Big farce...no realistic plans"": BJP leader V Muraleedharan on WB budget, WB budget 2024, balagopal, v muraleedharan, bjp, cpm, WB government",1080,30,0,3465
1707206629,iwo5kq4zmKc3OlyG,FJa+Wpl4M5T4n0zKRVzRYQDNnLw=,english.scoop.com/news/WB/bjp-leader-v-muraleedharan-about-WB-state-budget-1.9298538,FALSE,desktop,14,Manama,Bahrain,180,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",1,7,anandp,"news,news/WB,regular articles,medium content",News WB,english article,"""Big farce...no realistic plans"": BJP leader V Muraleedharan on WB budget, WB budget 2024, balagopal, v muraleedharan, bjp, cpm, WB government",1911,171,0,752
1707187499,Eq5kGB7KWXM3db1z,8kDgLX3bOU5qQi2dacaDSomhXOM=,english.scoop.com/news/WB/bjp-leader-v-muraleedharan-about-WB-state-budget-1.9298538,TRUE,desktop,5,Slough,United Kingdom,0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",0,1,anandp,"news,news/WB,regular articles,medium content",News WB,english article,"""Big farce...no realistic plans"": BJP leader V Muraleedharan on WB budget, WB budget 2024, balagopal, v muraleedharan, bjp, cpm, WB government",1080,30,0,3819
1707132400,8dNwdu/4Ez5IQ+H9,I4Ea1grxAQCdpWr0dE32dbo1tHk=,english.scoop.com/news/WB/bjp-leader-v-muraleedharan-about-WB-state-budget-1.9298538,TRUE,mobile,33,,India,330,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/121.0.6167.138 Mobile/15E148 Safari/604.1",0,1,anandp,"news,news/WB,regular articles,medium content",News WB,english article,"""Big farce...no realistic plans"": BJP leader V Muraleedharan on WB budget, WB budget 2024, balagopal, v muraleedharan, bjp, cpm, WB government",3171,33,0,316
1707135988,6SBKuv/it0jlFeTB,42YcNHl68L3pYakoRfUuewSLvPM=,english.scoop.com/news/WB/bjp-leader-v-muraleedharan-about-WB-state-budget-1.9298538,FALSE,mobile,146,Kuala Lumpur,Malaysia,480,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Mobile Safari/537.36",1,12,anandp,"news,news/WB,regular articles,medium content",News WB,english article,"""Big farce...no realistic plans"": BJP leader V Muraleedharan on WB budget, WB budget 2024, balagopal, v muraleedharan, bjp, cpm, WB government",7644,225,0,1407
1707134405,nvrEy8LamSq9uNJb,fgYSvVeIqAO0k0Hx0GAuVgtfcGA=,english.scoop.com/news/WB/bjp-leader-v-muraleedharan-about-WB-state-budget-1.9298538,FALSE,desktop,119,Mumbai,India,330,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",0,1,anandp,"news,news/WB,regular articles,medium content",News WB,english article,"""Big farce...no realistic plans"": BJP leader V Muraleedharan on WB budget, WB budget 2024, balagopal, v muraleedharan, bjp, cpm, WB government",4851,165,0,1517
1707127120,yNdVJ0FcUTqXauzq,24Ga5Ejn3+hqFq1bpL8Y8DCufhc=,english.scoop.com/news/WB/bjp-leader-v-muraleedharan-about-WB-state-budget-1.9298538,TRUE,desktop,1,Askim,Norway,60,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36",0,1,anandp,"news,news/WB,regular articles,medium content",News WB,english article,"""Big farce...no realistic plans"": BJP leader V Muraleedharan on WB budget, WB budget 2024, balagopal, v muraleedharan, bjp, cpm, WB government",477,1,0,728
1707127123,29U3A8PF0vLSfyVD,ZXd6PkoAuVj4v2nQmsBHPqnZGy4=,english.scoop.com/news/WB/bjp-leader-v-muraleedharan-about-WB-state-budget-1.9298538,FALSE,desktop,1,Schongau,Germany,0,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US) AppleWebKit/537.36 (KHTML, like Gecko) cXensebot/2.0; +http://www.cxense.com/bot.html Safari/533.3",1,5,anandp,"news,news/WB,regular articles,medium content",News WB,english article,"""Big farce...no realistic plans"": BJP leader V Muraleedharan on WB budget, WB budget 2024, balagopal, v muraleedharan, bjp, cpm, WB government",600,1,0,568
